dic,waic,cpo,marg_lik,model_name
57783.99055703699,57835.95909265594,2650.3960420538415,-29265.110786849018,pc.prec_poisson_2_basic
57783.99055703699,57835.95909265594,2650.3960420538415,-29265.110786849018,pc.prec_poisson_2_basic
57785.35065280006,57837.44233924831,2650.3229328173206,-29274.150867940218,pc.prec_poisson_2_flood_days
69618.43157116792,69103.36157524638,2162.3707025884846,-35535.200188457886,pc.prec_nbinomial2_2_basic
69618.43157116792,69103.36157524638,2162.3707025884846,-35535.200188457886,pc.prec_nbinomial2_2_basic
69620.41275012256,69104.61672630365,2162.32786855056,-35543.30068691463,pc.prec_nbinomial2_2_flood_days
57783.91119596919,57835.952122157774,2650.3930959658665,-29267.250144062033,loggamma_poisson_2_basic
57783.91119596919,57835.952122157774,2650.3930959658665,-29267.250144062033,loggamma_poisson_2_basic
57785.338990729906,57837.42694558627,2650.3169905428454,-29276.29491008798,loggamma_poisson_2_flood_days
69618.39214493094,69103.15521217036,2162.613676821647,-35536.50541674284,loggamma_nbinomial2_2_basic
69618.39214493094,69103.15521217036,2162.613676821647,-35536.50541674284,loggamma_nbinomial2_2_basic
69620.37714683714,69104.41592525599,2162.564021149909,-35544.60384547353,loggamma_nbinomial2_2_flood_days
